PRECINCT_NAME,PRECINCT_CODE,CTYSOSID,COUNTY_NAM,ajc_precinct,woolard_votes,mitchell_votes,County,wrightson_votes,eaves_votes,bottoms_votes,hall_votes,norwood_votes,sterling_votes,aman_votes,Precinct,ammanamanchi_votes,fort_votes,king_votes,county,_merge
11E1,11E1,12111E1,FULTON,11E1,2.0,45.0,FULTON,0.0,8.0,182.0,12.0,35.0,0.0,3.0,11E1,0.0,36.0,0.0,FULTON,both
11E2,11E2,12111E2,FULTON,11E2,0.0,53.0,FULTON,0.0,1.0,191.0,15.0,16.0,0.0,2.0,11E2,0.0,36.0,0.0,FULTON,both
11E3,11E3,12111E3,FULTON,11E3,11.0,116.0,FULTON,0.0,16.0,493.0,34.0,29.0,0.0,14.0,11E3,0.0,50.0,0.0,FULTON,both
11C,11C,12111C,FULTON,11C,7.0,263.0,FULTON,0.0,32.0,806.0,41.0,69.0,0.0,14.0,11C,0.0,94.0,0.0,FULTON,both
10A,10A,12110A,FULTON,10A,7.0,166.0,FULTON,0.0,21.0,473.0,47.0,118.0,3.0,11.0,10A,1.0,127.0,0.0,FULTON,both
10C,10C,12110C,FULTON,10C,3.0,59.0,FULTON,0.0,6.0,325.0,39.0,43.0,1.0,12.0,10C,0.0,46.0,0.0,FULTON,both
11N,11N,12111N,FULTON,11N,3.0,162.0,FULTON,0.0,14.0,442.0,38.0,76.0,1.0,7.0,11N,2.0,104.0,0.0,FULTON,both
11M,11M,12111M,FULTON,11M,9.0,165.0,FULTON,1.0,23.0,450.0,52.0,55.0,0.0,20.0,11M,0.0,109.0,0.0,FULTON,both
10R,10R,12110R,FULTON,10R,2.0,28.0,FULTON,0.0,0.0,78.0,21.0,17.0,1.0,0.0,10R,0.0,16.0,0.0,FULTON,both
10B,10B,12110B,FULTON,10B,4.0,421.0,FULTON,0.0,46.0,732.0,109.0,134.0,2.0,20.0,10B,3.0,157.0,0.0,FULTON,both
10I,10I,12110I,FULTON,10I,1.0,54.0,FULTON,0.0,17.0,70.0,11.0,14.0,1.0,3.0,10I,0.0,15.0,0.0,FULTON,both
10H1,10H1,12110H1,FULTON,10H1,1.0,20.0,FULTON,0.0,3.0,62.0,9.0,10.0,1.0,0.0,10H1,0.0,17.0,0.0,FULTON,both
10H2,10H2,12110H2,FULTON,10H2,4.0,90.0,FULTON,0.0,10.0,293.0,35.0,58.0,2.0,11.0,10H2,2.0,60.0,0.0,FULTON,both
11B,11B,12111B,FULTON,11B,13.0,235.0,FULTON,0.0,51.0,971.0,78.0,168.0,0.0,21.0,11B,3.0,201.0,0.0,FULTON,both
10D,10D,12110D,FULTON,10D,4.0,136.0,FULTON,1.0,25.0,521.0,54.0,99.0,2.0,9.0,10D,1.0,106.0,0.0,FULTON,both
10E,10E,12110E,FULTON,10E,3.0,53.0,FULTON,0.0,2.0,164.0,13.0,47.0,0.0,0.0,10E,0.0,49.0,0.0,FULTON,both
10P,10P,12110P,FULTON,10P,0.0,45.0,FULTON,0.0,5.0,197.0,15.0,28.0,0.0,4.0,10P,0.0,48.0,0.0,FULTON,both
09C,09C,12109C,FULTON,09C,6.0,152.0,FULTON,0.0,15.0,418.0,38.0,103.0,3.0,14.0,09C,1.0,127.0,0.0,FULTON,both
09B,09B,12109B,FULTON,09B,1.0,7.0,FULTON,0.0,2.0,28.0,2.0,8.0,0.0,0.0,09B,0.0,9.0,0.0,FULTON,both
11R,11R,12111R,FULTON,11R,2.0,30.0,FULTON,0.0,5.0,154.0,17.0,35.0,1.0,4.0,11R,0.0,44.0,0.0,FULTON,both
11K,11K,12111K,FULTON,11K,7.0,115.0,FULTON,0.0,10.0,312.0,35.0,75.0,2.0,11.0,11K,0.0,140.0,0.0,FULTON,both
11G,11G,12111G,FULTON,11G,3.0,45.0,FULTON,0.0,7.0,199.0,23.0,36.0,1.0,8.0,11G,1.0,72.0,0.0,FULTON,both
12I,12I,12112I,FULTON,12I,0.0,20.0,FULTON,1.0,3.0,116.0,10.0,22.0,0.0,1.0,12I,0.0,39.0,0.0,FULTON,both
04S,04S,12104S,FULTON,04S,8.0,78.0,FULTON,0.0,7.0,300.0,60.0,75.0,0.0,5.0,04S,1.0,92.0,0.0,FULTON,both
04X1,04X1,12104X1,FULTON,04X1,25.0,60.0,FULTON,0.0,5.0,241.0,42.0,49.0,0.0,8.0,04X1,0.0,74.0,0.0,FULTON,both
04M,04M,12104M,FULTON,04M,3.0,16.0,FULTON,0.0,2.0,67.0,15.0,13.0,0.0,1.0,04M,0.0,23.0,0.0,FULTON,both
04T,04T,12104T,FULTON,04T,3.0,39.0,FULTON,1.0,6.0,127.0,28.0,27.0,0.0,0.0,04T,1.0,64.0,0.0,FULTON,both
10M,10M,12110M,FULTON,10M,52.0,107.0,FULTON,1.0,5.0,308.0,43.0,71.0,0.0,15.0,10M,0.0,127.0,0.0,FULTON,both
04X2,04X2,12104X2,FULTON,04X2,8.0,21.0,FULTON,0.0,1.0,60.0,9.0,19.0,0.0,2.0,04X2,0.0,26.0,0.0,FULTON,both
04L,04L,12104L,FULTON,04L,31.0,127.0,FULTON,0.0,5.0,146.0,20.0,32.0,1.0,8.0,04L,0.0,82.0,0.0,FULTON,both
04D,04D,12104D,FULTON,04D,5.0,55.0,FULTON,0.0,1.0,194.0,19.0,49.0,1.0,3.0,04D,1.0,73.0,0.0,FULTON,both
04G,04G,12104G,FULTON,04G,3.0,12.0,FULTON,0.0,1.0,62.0,9.0,16.0,0.0,0.0,04G,0.0,20.0,0.0,FULTON,both
04A,04A,12104A,FULTON,04A,4.0,30.0,FULTON,0.0,3.0,129.0,14.0,32.0,0.0,5.0,04A,0.0,40.0,0.0,FULTON,both
04K,04K,12104K,FULTON,04K,44.0,145.0,FULTON,2.0,10.0,226.0,36.0,36.0,0.0,6.0,04K,1.0,143.0,0.0,FULTON,both
04W,04W,12104W,FULTON,04W,0.0,19.0,FULTON,0.0,3.0,35.0,9.0,1.0,0.0,0.0,04W,0.0,7.0,0.0,FULTON,both
10F,10F,12110F,FULTON,10F,4.0,48.0,FULTON,0.0,8.0,154.0,14.0,52.0,0.0,10.0,10F,0.0,39.0,0.0,FULTON,both
03S,03S,12103S,FULTON,03S,4.0,26.0,FULTON,1.0,2.0,78.0,10.0,19.0,0.0,2.0,03S,0.0,21.0,0.0,FULTON,both
09D,09D,12109D,FULTON,09D,0.0,25.0,FULTON,0.0,14.0,253.0,27.0,42.0,0.0,4.0,09D,0.0,72.0,0.0,FULTON,both
03C,03C,12103C,FULTON,03C,1.0,45.0,FULTON,1.0,4.0,180.0,16.0,45.0,0.0,5.0,03C,0.0,63.0,0.0,FULTON,both
03H,03H,12103H,FULTON,03H,1.0,31.0,FULTON,0.0,0.0,81.0,4.0,25.0,0.0,4.0,03H,1.0,14.0,0.0,FULTON,both
08E,08E,12108E,FULTON,08E,48.0,46.0,FULTON,0.0,11.0,50.0,7.0,637.0,0.0,374.0,08E,1.0,19.0,0.0,FULTON,both
06J,06J,12106J,FULTON,06J,427.0,30.0,FULTON,3.0,9.0,51.0,14.0,280.0,1.0,169.0,06J,1.0,35.0,0.0,FULTON,both
06E,06E,12106E,FULTON,06E,211.0,25.0,FULTON,1.0,5.0,72.0,15.0,198.0,1.0,81.0,06E,1.0,33.0,0.0,FULTON,both
06Q,06Q,12106Q,FULTON,06Q,16.0,11.0,FULTON,0.0,1.0,29.0,1.0,6.0,1.0,5.0,06Q,0.0,7.0,0.0,FULTON,both
06D,06D,12106D,FULTON,06D,1134.0,118.0,FULTON,4.0,26.0,238.0,51.0,764.0,1.0,649.0,06D,7.0,114.0,0.0,FULTON,both
08L,08L,12108L,FULTON,08L,159.0,61.0,FULTON,1.0,7.0,154.0,36.0,379.0,4.0,192.0,08L,1.0,48.0,0.0,FULTON,both
02W,02W,12102W,FULTON,02W,30.0,11.0,FULTON,0.0,0.0,23.0,4.0,21.0,0.0,6.0,02W,0.0,5.0,0.0,FULTON,both
03F,03F,12103F,FULTON,03F,62.0,42.0,FULTON,0.0,4.0,129.0,24.0,65.0,0.0,31.0,03F,2.0,28.0,0.0,FULTON,both
